"Time","iowait","irq","nice","softirq","steal","system","user","Used","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","timestamp"
"2023-04-02 11:21:25","0%","0%","0%","2.50%","4.00%","2.90%","6.00%","340 MiB","1.18 GB/s","0 kB/s","0 kB/s","770 MB/s","0 kB/s","1.19 GB/s","1680409285000"
"2023-04-02 11:21:30","0%","0%","0%","2.50%","4.00%","2.90%","6.00%","340 MiB","1.18 GB/s","0 kB/s","0 kB/s","770 MB/s","0 kB/s","1.19 GB/s","1680409290000"
"2023-04-02 11:21:35","0%","0%","0%","5.20%","6.00%","4.80%","8.90%","340 MiB","2.26 GB/s","0 kB/s","11.2 kB/s","1.45 GB/s","0 kB/s","2.27 GB/s","1680409295000"
"2023-04-02 11:21:40","0%","0%","0%","5.20%","6.00%","4.80%","8.90%","340 MiB","2.26 GB/s","0 kB/s","11.2 kB/s","1.45 GB/s","0 kB/s","2.27 GB/s","1680409300000"
"2023-04-02 11:21:45","0%","0%","0%","3.30%","4.40%","2.40%","7.10%","340 MiB","1.68 GB/s","0 kB/s","17.2 kB/s","1.07 GB/s","0 kB/s","1.69 GB/s","1680409305000"
"2023-04-02 11:21:50","0%","0%","0%","3.30%","4.40%","2.40%","7.10%","340 MiB","1.68 GB/s","0 kB/s","17.2 kB/s","1.07 GB/s","0 kB/s","1.69 GB/s","1680409310000"
"2023-04-02 11:21:55","0%","0%","0%","3.10%","4.00%","3.00%","7.40%","336 MiB","1.67 GB/s","0 kB/s","0 kB/s","1.08 GB/s","0 kB/s","1.68 GB/s","1680409315000"
"2023-04-02 11:22:00","0%","0%","0%","3.10%","4.00%","3.00%","7.40%","336 MiB","1.67 GB/s","0 kB/s","0 kB/s","1.08 GB/s","0 kB/s","1.68 GB/s","1680409320000"
"2023-04-02 11:22:05","0.200%","0%","0%","2.70%","6.50%","3.00%","4.60%","336 MiB","626 MB/s","0 kB/s","11.2 kB/s","425 MB/s","0 kB/s","632 MB/s","1680409325000"
"2023-04-02 11:22:10","0.200%","0%","0%","2.70%","6.50%","3.00%","4.60%","336 MiB","626 MB/s","0 kB/s","11.2 kB/s","425 MB/s","0 kB/s","632 MB/s","1680409330000"
"2023-04-02 11:22:15","0%","0%","0%","1.90%","2.70%","2.50%","7.30%","336 MiB","1.88 GB/s","0 kB/s","107 kB/s","1.19 GB/s","0 kB/s","1.88 GB/s","1680409335000"
"2023-04-02 11:22:20","0%","0%","0%","1.90%","2.70%","2.50%","7.30%","336 MiB","1.88 GB/s","0 kB/s","107 kB/s","1.19 GB/s","0 kB/s","1.88 GB/s","1680409340000"
