"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
2023-04-02 12:04:30,6.78 GB/s,0 kB/s,7.40 kB/s,4.01 GB/s,0 kB/s,6.80 GB/s,4.01 GB/s,0 kB/s,5.40 kB/s,6.80 GB/s,0 kB/s,4.01 GB/s
2023-04-02 12:04:40,4.83 GB/s,0 kB/s,0 kB/s,3.25 GB/s,0 kB/s,4.85 GB/s,3.25 GB/s,0 kB/s,0 kB/s,4.85 GB/s,0 kB/s,3.25 GB/s
2023-04-02 12:04:50,3.96 GB/s,0 kB/s,17 kB/s,2.41 GB/s,0 kB/s,3.98 GB/s,2.41 GB/s,0 kB/s,10.8 kB/s,3.98 GB/s,0 kB/s,2.41 GB/s
2023-04-02 12:05:00,6.39 GB/s,0 kB/s,6 kB/s,4.37 GB/s,0 kB/s,6.41 GB/s,4.37 GB/s,0 kB/s,4.20 kB/s,6.41 GB/s,0 kB/s,4.37 GB/s
2023-04-02 12:05:10,3.84 GB/s,0 kB/s,8.20 kB/s,4.14 GB/s,0 kB/s,3.86 GB/s,4.14 GB/s,0 kB/s,11 kB/s,3.86 GB/s,0 kB/s,4.14 GB/s
2023-04-02 12:05:20,5.88 GB/s,0 kB/s,5.80 kB/s,3.72 GB/s,0 kB/s,5.90 GB/s,3.72 GB/s,0 kB/s,5.40 kB/s,5.90 GB/s,0 kB/s,3.72 GB/s
2023-04-02 12:05:30,235 MB/s,0 kB/s,0 kB/s,123 MB/s,0 kB/s,240 MB/s,123 MB/s,0 kB/s,0 kB/s,241 MB/s,0 kB/s,123 MB/s
2023-04-02 12:05:40,595 MB/s,0 kB/s,49 kB/s,384 MB/s,0 kB/s,598 MB/s,384 MB/s,0 kB/s,49 kB/s,599 MB/s,0 kB/s,384 MB/s
2023-04-02 12:05:50,560 MB/s,0 kB/s,88.6 kB/s,367 MB/s,0 kB/s,563 MB/s,367 MB/s,0 kB/s,69.4 kB/s,564 MB/s,0 kB/s,367 MB/s
2023-04-02 12:06:00,1.04 GB/s,0 kB/s,5.80 kB/s,639 MB/s,0 kB/s,1.04 GB/s,639 MB/s,0 kB/s,5.40 kB/s,1.05 GB/s,0 kB/s,639 MB/s
2023-04-02 12:06:10,521 MB/s,0 kB/s,11.2 kB/s,341 MB/s,0 kB/s,524 MB/s,341 MB/s,0 kB/s,5.40 kB/s,525 MB/s,0 kB/s,341 MB/s
2023-04-02 12:06:20,960 MB/s,0 kB/s,67.7 kB/s,604 MB/s,0 kB/s,962 MB/s,604 MB/s,0 kB/s,292 kB/s,963 MB/s,0 kB/s,604 MB/s
2023-04-02 12:06:30,439 MB/s,0 kB/s,11.2 kB/s,269 MB/s,0 kB/s,439 MB/s,269 MB/s,0 kB/s,5.40 kB/s,440 MB/s,0 kB/s,269 MB/s
2023-04-02 12:06:40,526 MB/s,0 kB/s,0 kB/s,343 MB/s,0 kB/s,528 MB/s,343 MB/s,0 kB/s,0 kB/s,529 MB/s,0 kB/s,343 MB/s
2023-04-02 12:06:50,554 MB/s,0 kB/s,11.2 kB/s,359 MB/s,0 kB/s,556 MB/s,359 MB/s,0 kB/s,10.8 kB/s,557 MB/s,0 kB/s,359 MB/s
2023-04-02 12:07:00,573 MB/s,0 kB/s,11.6 kB/s,351 MB/s,0 kB/s,574 MB/s,351 MB/s,0 kB/s,9.60 kB/s,575 MB/s,0 kB/s,351 MB/s
2023-04-02 12:07:10,501 MB/s,0 kB/s,0 kB/s,307 MB/s,0 kB/s,501 MB/s,307 MB/s,0 kB/s,0 kB/s,502 MB/s,0 kB/s,307 MB/s
2023-04-02 12:07:20,135 MB/s,0 kB/s,11.2 kB/s,124 MB/s,0 kB/s,140 MB/s,124 MB/s,0 kB/s,10.8 kB/s,141 MB/s,0 kB/s,124 MB/s
2023-04-02 12:07:30,2.14 MB/s,0 kB/s,0 kB/s,1.63 MB/s,0 kB/s,2.18 MB/s,1.59 MB/s,0 kB/s,0 kB/s,3.12 MB/s,0 kB/s,1.59 MB/s
2023-04-02 12:07:40,60.3 MB/s,0 kB/s,0 kB/s,54.1 MB/s,0 kB/s,62.2 MB/s,54.0 MB/s,0 kB/s,0 kB/s,63.1 MB/s,0 kB/s,54.0 MB/s
2023-04-02 12:07:50,596 MB/s,0 kB/s,0 kB/s,378 MB/s,0 kB/s,598 MB/s,378 MB/s,0 kB/s,0 kB/s,598 MB/s,0 kB/s,378 MB/s
2023-04-02 12:08:00,58.6 MB/s,0 kB/s,0 kB/s,52.6 MB/s,0 kB/s,60.5 MB/s,52.5 MB/s,0 kB/s,0 kB/s,61.5 MB/s,0 kB/s,52.5 MB/s
2023-04-02 12:08:10,1.02 GB/s,0 kB/s,22.8 kB/s,623 MB/s,0 kB/s,1.02 GB/s,623 MB/s,0 kB/s,15 kB/s,1.02 GB/s,0 kB/s,623 MB/s
