sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth14c94da receive"
2023-02-08 01:03:30,5.20 kB/s,0 kB/s,0 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:03:45,5.20 kB/s,0 kB/s,156 kB/s,59.1 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:04:00,5.20 kB/s,0 kB/s,0 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:04:15,5.20 kB/s,0 kB/s,26 kB/s,63.3 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:04:30,5.20 kB/s,0 kB/s,16.8 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:04:45,8 kB/s,0 kB/s,5.80 kB/s,59.1 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:05:00,8 kB/s,0 kB/s,95.8 kB/s,54.9 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:05:15,5.20 kB/s,0 kB/s,0 kB/s,63.3 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:05:30,5.20 kB/s,0 kB/s,0 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:05:45,5.20 kB/s,0 kB/s,0 kB/s,59.1 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:06:00,8 kB/s,0 kB/s,11.8 kB/s,54.9 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:06:15,8 kB/s,0 kB/s,5.60 kB/s,63.3 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:06:30,5.20 kB/s,0 kB/s,5.60 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:06:45,5.20 kB/s,0 kB/s,0 kB/s,59.1 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:07:00,5.20 kB/s,0 kB/s,11.2 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:07:15,5.20 kB/s,0 kB/s,29.4 kB/s,69.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:07:30,5.20 kB/s,0 kB/s,48.4 kB/s,61.5 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:07:45,8 kB/s,0 kB/s,11.2 kB/s,54.9 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:08:00,8 kB/s,0 kB/s,16.8 kB/s,54.9 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:08:15,5.20 kB/s,0 kB/s,11.6 kB/s,59.1 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:08:30,8 kB/s,0 kB/s,22.8 kB/s,54.9 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:08:45,8 kB/s,0 kB/s,5.60 kB/s,54.9 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:09:00,5.20 kB/s,0 kB/s,28 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:09:15,8 kB/s,0 kB/s,17 kB/s,59.1 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:09:30,5.20 kB/s,0 kB/s,89.6 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:09:45,5.20 kB/s,0 kB/s,14.8 kB/s,61.5 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:10:00,10.4 kB/s,0 kB/s,22.4 kB/s,61.5 kB/s,0 kB/s,13.2 kB/s
2023-02-08 01:10:15,10.8 kB/s,0 kB/s,0 kB/s,59.1 kB/s,0 kB/s,15 kB/s
2023-02-08 01:10:30,10.4 kB/s,0 kB/s,12.3 kB/s,61.5 kB/s,0 kB/s,13.2 kB/s
2023-02-08 01:10:45,5.20 kB/s,0 kB/s,5.60 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:11:00,10.4 kB/s,0 kB/s,5.80 kB/s,61.5 kB/s,0 kB/s,13.2 kB/s
2023-02-08 01:11:15,8 kB/s,0 kB/s,5.60 kB/s,59.1 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:11:30,10.4 kB/s,0 kB/s,5.60 kB/s,61.5 kB/s,0 kB/s,13.2 kB/s
2023-02-08 01:11:45,8 kB/s,0 kB/s,5.60 kB/s,54.9 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:12:00,10.4 kB/s,0 kB/s,0 kB/s,61.5 kB/s,0 kB/s,13.2 kB/s
2023-02-08 01:12:15,5.20 kB/s,0 kB/s,11.6 kB/s,59.1 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:12:30,10.4 kB/s,0 kB/s,11.2 kB/s,61.5 kB/s,0 kB/s,13.2 kB/s
2023-02-08 01:12:45,5.20 kB/s,0 kB/s,13.2 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
