"Time","Used","Buffer","Cached","Free"
2023-04-16 01:31:10,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:31:20,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:31:30,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:31:40,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:31:50,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:32:00,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:32:10,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:32:20,374 MiB,31.2 MiB,405 MiB,159 MiB
2023-04-16 01:32:30,379 MiB,31.2 MiB,405 MiB,154 MiB
2023-04-16 01:32:40,374 MiB,31.2 MiB,405 MiB,159 MiB
2023-04-16 01:32:50,377 MiB,31.2 MiB,405 MiB,156 MiB
2023-04-16 01:33:00,377 MiB,31.2 MiB,405 MiB,156 MiB
2023-04-16 01:33:10,387 MiB,31.2 MiB,405 MiB,146 MiB
2023-04-16 01:33:20,396 MiB,31.2 MiB,405 MiB,137 MiB
2023-04-16 01:33:30,391 MiB,31.2 MiB,405 MiB,142 MiB
2023-04-16 01:33:40,377 MiB,31.2 MiB,405 MiB,156 MiB
2023-04-16 01:33:50,383 MiB,31.2 MiB,405 MiB,150 MiB
2023-04-16 01:34:00,383 MiB,31.2 MiB,405 MiB,150 MiB
2023-04-16 01:34:10,379 MiB,31.2 MiB,405 MiB,154 MiB
2023-04-16 01:34:20,378 MiB,31.2 MiB,405 MiB,155 MiB
2023-04-16 01:34:30,376 MiB,31.2 MiB,405 MiB,157 MiB
2023-04-16 01:34:40,377 MiB,31.2 MiB,405 MiB,156 MiB
2023-04-16 01:34:50,372 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:35:00,374 MiB,31.2 MiB,405 MiB,159 MiB
2023-04-16 01:35:10,376 MiB,31.2 MiB,405 MiB,157 MiB
2023-04-16 01:35:20,376 MiB,31.2 MiB,405 MiB,157 MiB
2023-04-16 01:35:30,376 MiB,31.2 MiB,405 MiB,157 MiB
2023-04-16 01:35:40,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:35:50,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:36:00,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:36:10,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:36:20,377 MiB,31.2 MiB,405 MiB,156 MiB
2023-04-16 01:36:30,377 MiB,31.2 MiB,405 MiB,156 MiB
