"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit","TimeToFail"
"2023-04-16 00:45:20","1681580720000","0%","0%","0%","3.90%","2.10%","4.00%","6.70%","361 MiB","31.1 MiB","405 MiB","172 MiB","1.27 GB/s","0 kB/s","6 kB/s","869 MB/s","0 kB/s","1.28 GB/s","869 MB/s","0 kB/s","4.20 kB/s","1.28 GB/s","0 kB/s","869 MB/s","1343946"
"2023-04-16 00:45:30","1681580730000","0%","0%","0%","2.30%","0.900%","3.30%","7.40%","370 MiB","31.1 MiB","405 MiB","164 MiB","1.64 GB/s","0 kB/s","0 kB/s","1.06 GB/s","0 kB/s","1.65 GB/s","1.06 GB/s","0 kB/s","0 kB/s","1.65 GB/s","0 kB/s","1.06 GB/s","1333946"
"2023-04-16 00:45:40","1681580740000","0%","0%","0%","3.00%","1.30%","4.00%","7.20%","370 MiB","31.1 MiB","405 MiB","163 MiB","1.74 GB/s","0 kB/s","11.4 kB/s","1.15 GB/s","0 kB/s","1.75 GB/s","1.15 GB/s","0 kB/s","10.8 kB/s","1.75 GB/s","0 kB/s","1.15 GB/s","1323946"
"2023-04-16 00:45:50","1681580750000","0%","0%","0%","2.30%","0.900%","3.50%","9.30%","370 MiB","31.1 MiB","405 MiB","163 MiB","2.79 GB/s","0 kB/s","73.7 kB/s","1.76 GB/s","0 kB/s","2.80 GB/s","1.76 GB/s","0 kB/s","306 kB/s","2.80 GB/s","0 kB/s","1.76 GB/s","1313946"
"2023-04-16 00:46:00","1681580760000","0%","0%","0%","2.00%","1.000%","2.90%","4.40%","368 MiB","31.1 MiB","405 MiB","166 MiB","1.00 GB/s","0 kB/s","5.80 kB/s","657 MB/s","0 kB/s","1.01 GB/s","657 MB/s","0 kB/s","5.40 kB/s","1.01 GB/s","0 kB/s","657 MB/s","1303946"
"2023-04-16 00:46:10","1681580770000","0%","0%","0%","2.50%","2.20%","3.00%","10.5%","368 MiB","31.1 MiB","405 MiB","166 MiB","2.75 GB/s","0 kB/s","39.3 kB/s","1.74 GB/s","0 kB/s","2.76 GB/s","1.74 GB/s","0 kB/s","38.5 kB/s","2.76 GB/s","0 kB/s","1.74 GB/s","1293946"
"2023-04-16 00:46:20","1681580780000","0%","0%","0%","3.40%","2.00%","2.60%","6.40%","368 MiB","31.1 MiB","405 MiB","166 MiB","1.63 GB/s","0 kB/s","5.80 kB/s","1.07 GB/s","0 kB/s","1.64 GB/s","1.07 GB/s","0 kB/s","5.40 kB/s","1.64 GB/s","0 kB/s","1.07 GB/s","1283946"
"2023-04-16 00:46:30","1681580790000","0%","0%","0%","3.40%","1.60%","4.30%","8.70%","372 MiB","31.1 MiB","405 MiB","162 MiB","1.84 GB/s","0 kB/s","11.2 kB/s","1.24 GB/s","0 kB/s","1.85 GB/s","1.24 GB/s","0 kB/s","5.40 kB/s","1.86 GB/s","0 kB/s","1.24 GB/s","1273946"
"2023-04-16 00:46:40","1681580800000","0%","0%","0%","3.10%","1.50%","3.20%","9.70%","372 MiB","31.1 MiB","405 MiB","162 MiB","2.60 GB/s","0 kB/s","28.6 kB/s","1.63 GB/s","0 kB/s","2.61 GB/s","1.63 GB/s","0 kB/s","20.4 kB/s","2.61 GB/s","0 kB/s","1.63 GB/s","1263946"
"2023-04-16 00:46:50","1681580810000","0%","0%","0%","2.10%","1.40%","4.00%","6.70%","372 MiB","31.1 MiB","405 MiB","162 MiB","1.27 GB/s","0 kB/s","22.4 kB/s","872 MB/s","0 kB/s","1.28 GB/s","872 MB/s","0 kB/s","16.2 kB/s","1.28 GB/s","0 kB/s","872 MB/s","1253946"
"2023-04-16 00:47:00","1681580820000","0%","0%","0%","2.60%","1.30%","4.80%","6.60%","370 MiB","31.1 MiB","405 MiB","164 MiB","1.19 GB/s","0 kB/s","0 kB/s","831 MB/s","0 kB/s","1.20 GB/s","831 MB/s","0 kB/s","0 kB/s","1.20 GB/s","0 kB/s","831 MB/s","1243946"
