"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-16 01:05:30,0%,0%,0%,2.60%,0.900%,4.00%,12.7%
2023-04-16 01:05:40,0%,0%,0%,3.50%,1.40%,4.40%,16.7%
2023-04-16 01:05:50,0%,0%,0%,3.00%,1.10%,4.20%,12.7%
2023-04-16 01:06:00,0%,0%,0%,5%,1.90%,5.80%,16.0%
2023-04-16 01:06:10,0%,0%,0%,4.60%,1.60%,4.40%,14.0%
2023-04-16 01:06:20,0%,0%,0%,2.00%,0.700%,2.90%,10%
2023-04-16 01:06:30,0%,0%,0%,3.60%,2.20%,5.20%,13.9%
2023-04-16 01:06:40,0%,0%,0%,4.60%,1.60%,5.20%,13.1%
2023-04-16 01:06:50,0%,0%,0%,4.10%,1.50%,5.90%,17.3%
2023-04-16 01:07:00,0%,0%,0%,4.40%,1.70%,6.50%,14.0%
2023-04-16 01:07:10,0%,0%,0%,2.50%,1.10%,3.60%,16.6%
2023-04-16 01:07:20,0%,0%,0%,5.60%,2.80%,7.00%,11.0%
2023-04-16 01:07:30,0%,0%,0%,3.10%,1.10%,3.00%,11.1%
2023-04-16 01:07:40,0%,0%,0%,5.70%,1.90%,6.80%,22.2%
2023-04-16 01:07:50,0%,0%,0%,4.50%,0.800%,4.00%,16.1%
2023-04-16 01:08:00,0%,0%,0%,3.50%,1.80%,3.80%,14.0%
2023-04-16 01:08:10,0%,0%,0%,4.70%,1.70%,3.60%,8.60%
2023-04-16 01:08:20,0%,0%,0%,5.20%,1.50%,4.50%,13.8%
2023-04-16 01:08:30,0%,0%,0%,4.60%,2.10%,4.40%,11.7%
2023-04-16 01:08:40,0%,0%,0%,4.60%,1.50%,4.50%,11.4%
2023-04-16 01:08:50,0%,0%,0%,4.40%,1.80%,4.20%,9.60%
2023-04-16 01:09:00,0%,0%,0%,6.20%,1.30%,5.40%,13.6%
2023-04-16 01:09:10,0%,0%,0%,3.50%,2.00%,3.70%,6.70%
2023-04-16 01:09:20,0%,0%,0%,4.70%,1.20%,4.00%,15.2%
2023-04-16 01:09:30,0%,0%,0%,2.60%,0.600%,3.00%,5.60%
2023-04-16 01:09:40,0%,0%,0%,1.00%,0.700%,1.60%,2.80%
2023-04-16 01:09:50,0%,0%,0%,0.900%,0.300%,1.30%,3.40%
2023-04-16 01:10:00,0%,0%,0%,0.100%,0%,0.400%,1.00%
2023-04-16 01:10:10,0%,0%,0%,0.300%,0.500%,0.300%,4.00%
2023-04-16 01:10:20,0%,0%,0%,2.40%,1.60%,2.40%,4.10%
2023-04-16 01:10:30,0%,0%,0%,1.30%,0.500%,1.70%,4.20%
2023-04-16 01:10:40,0%,0%,0%,0.900%,0.400%,0.900%,3.60%
2023-04-16 01:10:50,0%,0%,0%,0.200%,0.200%,0.500%,1.90%
2023-04-16 01:11:00,0%,0%,0%,1.20%,0.800%,2.00%,2.00%
2023-04-16 01:11:10,0%,0%,0%,1.10%,1.000%,1.50%,1.90%
2023-04-16 01:11:20,0%,0%,0%,0.900%,0.400%,1.20%,4.50%
2023-04-16 01:11:30,0%,0%,0%,0.1000%,0%,0.300%,1.30%
2023-04-16 01:11:40,0%,0%,0%,1.20%,1.00%,1.80%,3.60%
2023-04-16 01:11:50,0%,0%,0%,0.300%,0.100%,0.700%,2.00%
2023-04-16 01:12:00,0%,0%,0%,0.500%,0.300%,0.700%,4.00%
2023-04-16 01:12:10,0%,0%,0%,1.20%,0.300%,0.800%,4.30%
2023-04-16 01:12:20,0%,0%,0%,0.1000%,0%,0.1000%,3.40%
2023-04-16 01:12:30,0%,0%,0%,0.900%,0.400%,1.30%,2.90%
2023-04-16 01:12:40,0%,0%,0%,1.000%,0.300%,1.00%,1.30%
2023-04-16 01:12:50,0%,0%,0%,0%,0%,0.200%,2.50%
2023-04-16 01:13:00,0%,0%,0%,1.70%,1.30%,2.90%,10.5%
2023-04-16 01:13:10,0%,0%,0%,5.70%,2.40%,4.10%,12.0%
2023-04-16 01:13:20,0%,0%,0%,4.20%,2.40%,4.30%,7.90%
2023-04-16 01:13:30,0%,0%,0%,4.90%,1.70%,4.20%,18.6%
2023-04-16 01:13:40,0%,0%,0%,6.00%,1.80%,5.10%,15.9%
2023-04-16 01:13:50,0%,0%,0%,4.50%,1.10%,4.60%,11.8%
2023-04-16 01:14:00,0%,0%,0%,5%,1.20%,4.60%,14.0%
2023-04-16 01:14:10,0%,0%,0%,3.50%,1.80%,3.00%,7.00%
