"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
"2023-04-16 13:50:55","1681627855000","0%","0%","0%","4.50%","1.70%","6.50%","14.2%","381 MiB","34.0 MiB","415 MiB","139 MiB","3.71 GB/s","0 kB/s","19.6 kB/s","2.34 GB/s","0 kB/s","3.72 GB/s","2.34 GB/s","0 kB/s","19.6 kB/s","3.72 GB/s","0 kB/s","2.34 GB/s"
"2023-04-16 13:51:00","1681627860000","0%","0%","0%","4.40%","2.20%","6.20%","14.0%","379 MiB","34.0 MiB","415 MiB","141 MiB","3.68 GB/s","0 kB/s","78.0 kB/s","2.33 GB/s","0 kB/s","3.70 GB/s","2.33 GB/s","0 kB/s","73.8 kB/s","3.70 GB/s","0 kB/s","2.33 GB/s"
"2023-04-16 13:51:05","1681627865000","0%","0%","0%","4.40%","2.20%","6.20%","14.0%","379 MiB","34.0 MiB","415 MiB","141 MiB","3.68 GB/s","0 kB/s","78.0 kB/s","2.33 GB/s","0 kB/s","3.70 GB/s","2.33 GB/s","0 kB/s","73.8 kB/s","3.70 GB/s","0 kB/s","2.33 GB/s"
"2023-04-16 13:51:10","1681627870000","0%","0%","0%","3.40%","1.70%","4.60%","9.70%","379 MiB","34.0 MiB","415 MiB","141 MiB","2.35 GB/s","0 kB/s","49.0 kB/s","1.53 GB/s","0 kB/s","2.36 GB/s","1.53 GB/s","0 kB/s","49.0 kB/s","2.36 GB/s","0 kB/s","1.53 GB/s"
"2023-04-16 13:51:15","1681627875000","0%","0%","0%","3.40%","1.70%","4.60%","9.70%","379 MiB","34.0 MiB","415 MiB","141 MiB","2.35 GB/s","0 kB/s","49.0 kB/s","1.53 GB/s","0 kB/s","2.36 GB/s","1.53 GB/s","0 kB/s","49.0 kB/s","2.36 GB/s","0 kB/s","1.53 GB/s"
"2023-04-16 13:51:20","1681627880000","0%","0%","0%","2.50%","0.900%","2.70%","13.0%","381 MiB","34.0 MiB","415 MiB","139 MiB","4.07 GB/s","0 kB/s","39.2 kB/s","2.55 GB/s","0 kB/s","4.08 GB/s","2.55 GB/s","0 kB/s","35.4 kB/s","4.08 GB/s","0 kB/s","2.55 GB/s"
"2023-04-16 13:51:25","1681627885000","0%","0%","0%","2.50%","0.900%","2.70%","13.0%","381 MiB","34.0 MiB","415 MiB","139 MiB","4.07 GB/s","0 kB/s","39.2 kB/s","2.55 GB/s","0 kB/s","4.08 GB/s","2.55 GB/s","0 kB/s","35.4 kB/s","4.08 GB/s","0 kB/s","2.55 GB/s"
"2023-04-16 13:51:30","1681627890000","0%","0%","0%","4.60%","1.70%","6.00%","12.5%","379 MiB","34.0 MiB","415 MiB","141 MiB","2.92 GB/s","0 kB/s","0 kB/s","2.23 GB/s","0 kB/s","2.94 GB/s","2.23 GB/s","0 kB/s","0 kB/s","2.94 GB/s","0 kB/s","2.23 GB/s"
"2023-04-16 13:51:35","1681627895000","0%","0%","0%","4.60%","1.70%","6.00%","12.5%","379 MiB","34.0 MiB","415 MiB","141 MiB","2.92 GB/s","0 kB/s","0 kB/s","2.23 GB/s","0 kB/s","2.94 GB/s","2.23 GB/s","0 kB/s","0 kB/s","2.94 GB/s","0 kB/s","2.23 GB/s"
"2023-04-16 13:51:40","1681627900000","0%","0%","0%","2.40%","2.00%","4.40%","9.70%","379 MiB","34.0 MiB","415 MiB","141 MiB","2.30 GB/s","0 kB/s","24.8 kB/s","1.17 GB/s","0 kB/s","2.31 GB/s","1.17 GB/s","0 kB/s","20.4 kB/s","2.31 GB/s","0 kB/s","1.17 GB/s"
"2023-04-16 13:51:45","1681627905000","0%","0%","0%","2.40%","2.00%","4.40%","9.70%","379 MiB","34.0 MiB","415 MiB","141 MiB","2.30 GB/s","0 kB/s","24.8 kB/s","1.17 GB/s","0 kB/s","2.31 GB/s","1.17 GB/s","0 kB/s","20.4 kB/s","2.31 GB/s","0 kB/s","1.17 GB/s"
"2023-04-16 13:51:50","1681627910000","0%","0%","0%","3.30%","1.30%","3.90%","10.4%","375 MiB","34.0 MiB","415 MiB","145 MiB","2.30 GB/s","0 kB/s","0 kB/s","1.73 GB/s","0 kB/s","2.31 GB/s","1.73 GB/s","0 kB/s","0 kB/s","2.31 GB/s","0 kB/s","1.73 GB/s"
"2023-04-16 13:51:55","1681627915000","0%","0%","0%","3.30%","1.30%","3.90%","10.4%","375 MiB","34.0 MiB","415 MiB","145 MiB","2.30 GB/s","0 kB/s","0 kB/s","1.73 GB/s","0 kB/s","2.31 GB/s","1.73 GB/s","0 kB/s","0 kB/s","2.31 GB/s","0 kB/s","1.73 GB/s"
"2023-04-16 13:52:00","1681627920000","0%","0%","0%","1.80%","1.60%","3.20%","12.1%","373 MiB","34.0 MiB","415 MiB","147 MiB","4.09 GB/s","0 kB/s","73.3 kB/s","2.30 GB/s","0 kB/s","4.09 GB/s","2.30 GB/s","0 kB/s","305 kB/s","4.10 GB/s","0 kB/s","2.30 GB/s"
"2023-04-16 13:52:05","1681627925000","0%","0%","0%","1.80%","1.60%","3.20%","12.1%","373 MiB","34.0 MiB","415 MiB","147 MiB","4.09 GB/s","0 kB/s","73.3 kB/s","2.30 GB/s","0 kB/s","4.09 GB/s","2.30 GB/s","0 kB/s","305 kB/s","4.10 GB/s","0 kB/s","2.30 GB/s"
"2023-04-16 13:52:10","1681627930000","0%","0%","0%","1.10%","1.50%","1.80%","6.40%","373 MiB","34.0 MiB","415 MiB","147 MiB","1.99 GB/s","0 kB/s","0 kB/s","1.24 GB/s","0 kB/s","1.99 GB/s","1.24 GB/s","0 kB/s","0 kB/s","1.99 GB/s","0 kB/s","1.24 GB/s"
"2023-04-16 13:52:15","1681627935000","0%","0%","0%","1.10%","1.50%","1.80%","6.40%","373 MiB","34.0 MiB","415 MiB","147 MiB","1.99 GB/s","0 kB/s","0 kB/s","1.24 GB/s","0 kB/s","1.99 GB/s","1.24 GB/s","0 kB/s","0 kB/s","1.99 GB/s","0 kB/s","1.24 GB/s"
"2023-04-16 13:52:20","1681627940000","0%","0%","0%","1.50%","0.900%","2.70%","8.40%","377 MiB","34.0 MiB","415 MiB","143 MiB","2.49 GB/s","0 kB/s","39.2 kB/s","1.58 GB/s","0 kB/s","2.49 GB/s","1.58 GB/s","0 kB/s","35.4 kB/s","2.49 GB/s","0 kB/s","1.58 GB/s"
"2023-04-16 13:52:25","1681627945000","0%","0%","0%","1.50%","0.900%","2.70%","8.40%","377 MiB","34.0 MiB","415 MiB","143 MiB","2.49 GB/s","0 kB/s","39.2 kB/s","1.58 GB/s","0 kB/s","2.49 GB/s","1.58 GB/s","0 kB/s","35.4 kB/s","2.49 GB/s","0 kB/s","1.58 GB/s"
"2023-04-16 13:52:30","1681627950000","0%","0%","50.1%","5.70%","0.600%","8.10%","28.7%","387 MiB","34.2 MiB","416 MiB","133 MiB","2.29 GB/s","0 kB/s","0 kB/s","1.51 GB/s","0 kB/s","2.30 GB/s","1.51 GB/s","0 kB/s","0 kB/s","2.30 GB/s","0 kB/s","1.51 GB/s"
"2023-04-16 13:52:35","1681627955000","0%","0%","50.1%","5.70%","0.600%","8.10%","28.7%","387 MiB","34.2 MiB","416 MiB","133 MiB","2.29 GB/s","0 kB/s","0 kB/s","1.51 GB/s","0 kB/s","2.30 GB/s","1.51 GB/s","0 kB/s","0 kB/s","2.30 GB/s","0 kB/s","1.51 GB/s"
"2023-04-16 13:52:40","1681627960000","0.1000%","0%","0%","3.10%","1.40%","3.50%","11.6%","380 MiB","34.2 MiB","416 MiB","140 MiB","3.75 GB/s","0 kB/s","0 kB/s","2.32 GB/s","0 kB/s","3.76 GB/s","2.32 GB/s","0 kB/s","0 kB/s","3.76 GB/s","0 kB/s","2.32 GB/s"
"2023-04-16 13:52:45","1681627965000","0.1000%","0%","0%","3.10%","1.40%","3.50%","11.6%","380 MiB","34.2 MiB","416 MiB","140 MiB","3.75 GB/s","0 kB/s","0 kB/s","2.32 GB/s","0 kB/s","3.76 GB/s","2.32 GB/s","0 kB/s","0 kB/s","3.76 GB/s","0 kB/s","2.32 GB/s"
"2023-04-16 13:52:50","1681627970000","0%","0%","0%","2.10%","0.700%","1.50%","7.90%","387 MiB","34.2 MiB","416 MiB","133 MiB","2.61 GB/s","0 kB/s","39.6 kB/s","1.62 GB/s","0 kB/s","2.62 GB/s","1.62 GB/s","0 kB/s","25.8 kB/s","2.62 GB/s","0 kB/s","1.62 GB/s"
"2023-04-16 13:52:55","1681627975000","0%","0%","0%","2.10%","0.700%","1.50%","7.90%","387 MiB","34.2 MiB","416 MiB","133 MiB","2.61 GB/s","0 kB/s","39.6 kB/s","1.62 GB/s","0 kB/s","2.62 GB/s","1.62 GB/s","0 kB/s","25.8 kB/s","2.62 GB/s","0 kB/s","1.62 GB/s"
