sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive"
2023-03-24 12:18:45,10.9 GB/s,0 kB/s,124 MB/s,7.22 GB/s,0 kB/s,10.9 GB/s
2023-03-24 12:19:00,10.7 GB/s,0 kB/s,129 MB/s,8.42 GB/s,0 kB/s,10.7 GB/s
2023-03-24 12:19:15,10.6 GB/s,0 kB/s,132 MB/s,7.17 GB/s,0 kB/s,10.6 GB/s
2023-03-24 12:19:30,12.0 GB/s,0 kB/s,165 MB/s,9.02 GB/s,0 kB/s,12.1 GB/s
2023-03-24 12:19:45,13.4 GB/s,0 kB/s,164 MB/s,9.41 GB/s,0 kB/s,13.5 GB/s
2023-03-24 12:20:00,13.0 GB/s,0 kB/s,153 MB/s,7.43 GB/s,0 kB/s,13.0 GB/s
2023-03-24 12:20:15,9.59 GB/s,0 kB/s,116 MB/s,7.09 GB/s,0 kB/s,9.64 GB/s
2023-03-24 12:20:30,7.37 GB/s,0 kB/s,80.2 MB/s,7.19 GB/s,0 kB/s,7.40 GB/s
2023-03-24 12:20:45,9.01 GB/s,0 kB/s,106 MB/s,6.83 GB/s,0 kB/s,9.05 GB/s
2023-03-24 12:21:00,3.67 GB/s,0 kB/s,41.9 MB/s,4.73 GB/s,0 kB/s,3.69 GB/s
2023-03-24 12:21:15,6.90 GB/s,0 kB/s,88.4 MB/s,6.08 GB/s,0 kB/s,6.93 GB/s
2023-03-24 12:21:30,1.34 GB/s,0 kB/s,10.0 MB/s,194 MB/s,0 kB/s,1.34 GB/s
2023-03-24 12:21:45,505 MB/s,0 kB/s,4.94 MB/s,373 MB/s,0 kB/s,507 MB/s
2023-03-24 12:22:00,278 MB/s,0 kB/s,2.37 MB/s,195 MB/s,0 kB/s,278 MB/s
2023-03-24 12:22:15,375 MB/s,0 kB/s,4.20 MB/s,276 MB/s,0 kB/s,376 MB/s
2023-03-24 12:22:30,412 MB/s,0 kB/s,10.0 MB/s,290 MB/s,0 kB/s,413 MB/s
2023-03-24 12:22:45,329 MB/s,0 kB/s,4.34 MB/s,240 MB/s,0 kB/s,331 MB/s
2023-03-24 12:23:00,198 MB/s,0 kB/s,979 kB/s,218 MB/s,0 kB/s,199 MB/s
2023-03-24 12:23:15,290 MB/s,0 kB/s,4.19 MB/s,54.9 kB/s,0 kB/s,291 MB/s
2023-03-24 12:23:30,368 MB/s,0 kB/s,4.05 MB/s,263 MB/s,0 kB/s,369 MB/s
2023-03-24 12:23:45,337 MB/s,0 kB/s,2.87 MB/s,233 MB/s,0 kB/s,338 MB/s
2023-03-24 12:24:00,428 MB/s,0 kB/s,3.93 MB/s,322 MB/s,0 kB/s,429 MB/s
2023-03-24 12:24:15,402 MB/s,0 kB/s,6.48 MB/s,287 MB/s,0 kB/s,404 MB/s
2023-03-24 12:24:30,496 MB/s,0 kB/s,11.4 MB/s,323 MB/s,0 kB/s,497 MB/s
2023-03-24 12:24:45,420 MB/s,0 kB/s,5.27 MB/s,306 MB/s,0 kB/s,422 MB/s
2023-03-24 12:25:00,491 MB/s,0 kB/s,4.70 MB/s,358 MB/s,0 kB/s,493 MB/s
2023-03-24 12:25:15,430 MB/s,0 kB/s,4.75 MB/s,362 MB/s,0 kB/s,431 MB/s
2023-03-24 12:25:30,406 MB/s,0 kB/s,3.87 MB/s,267 MB/s,0 kB/s,407 MB/s
2023-03-24 12:25:45,349 MB/s,0 kB/s,3.97 MB/s,249 MB/s,0 kB/s,350 MB/s
2023-03-24 12:26:00,298 MB/s,0 kB/s,3.75 MB/s,216 MB/s,0 kB/s,299 MB/s
2023-03-24 12:26:15,1.80 GB/s,0 kB/s,17.7 MB/s,1.33 GB/s,0 kB/s,1.80 GB/s
