sep=,
"Time","iowait","irq","nice","softirq","steal","system","user"
2023-03-24 12:17:00,0%,0%,0%,1.30%,0.600%,1.00%,4.30%
2023-03-24 12:17:15,0.300%,0%,0%,1.80%,1.80%,0.800%,5.10%
2023-03-24 12:17:30,0%,0%,0%,0.900%,1.80%,0.800%,3.50%
2023-03-24 12:17:45,0%,0%,0%,1.30%,1.10%,0.400%,5%
2023-03-24 12:18:00,0%,0%,0%,7.00%,2.60%,2.20%,16.9%
2023-03-24 12:18:15,0%,0%,0%,6.20%,2.60%,2.50%,15.2%
2023-03-24 12:18:30,0%,0%,0%,7.10%,3.00%,1.90%,17.6%
2023-03-24 12:18:45,0%,0%,0%,8.10%,4.70%,2.40%,16.7%
2023-03-24 12:19:00,0%,0%,0%,9.20%,5%,3.80%,20.3%
2023-03-24 12:19:15,0%,0%,0%,8.40%,7.20%,3.60%,19.8%
2023-03-24 12:19:30,0.100%,0%,0%,13.3%,6.60%,4.50%,21.1%
2023-03-24 12:19:45,0%,0%,0%,14.5%,6.60%,4.10%,25.4%
2023-03-24 12:20:00,0%,0%,0%,11.0%,3.80%,4.20%,18.6%
2023-03-24 12:20:15,0%,0%,0%,11.2%,10.5%,3.50%,18.0%
2023-03-24 12:20:30,0%,0%,0%,8.30%,8.40%,3.30%,19.3%
2023-03-24 12:20:45,0%,0%,0%,7.90%,10.2%,3.30%,17.0%
2023-03-24 12:21:00,0%,0%,0%,4.50%,3.80%,2.60%,11.8%
2023-03-24 12:21:15,0%,0%,0%,5.70%,4.60%,3.00%,15.6%
2023-03-24 12:21:30,0%,0%,0%,0.500%,0.700%,0.1000%,0.600%
2023-03-24 12:21:45,0%,0%,0%,0.400%,0.300%,0.1000%,0.800%
2023-03-24 12:22:00,0%,0%,0%,0%,0.300%,0.1000%,0.800%
2023-03-24 12:22:15,0%,0%,0%,0.300%,0.600%,0.100%,0.800%
2023-03-24 12:22:30,0%,0%,0%,0.200%,0.400%,0.500%,0.800%
2023-03-24 12:22:45,0%,0%,0%,0%,0.300%,0.300%,0.800%
2023-03-24 12:23:00,0%,0%,0%,0%,0.200%,0.1000%,0.500%
2023-03-24 12:23:15,0%,0%,0%,0.1000%,0.100%,0.200%,0.700%
2023-03-24 12:23:30,0%,0%,0%,0.1000%,0.300%,0%,0.800%
2023-03-24 12:23:45,0%,0%,0%,0.300%,0.200%,0.200%,0.800%
2023-03-24 12:24:00,0%,0%,0%,0.1000%,0.300%,0.200%,1.00%
2023-03-24 12:24:15,0%,0%,0%,0.200%,0.400%,0.200%,0.900%
2023-03-24 12:24:30,0%,0%,0%,0.1000%,0.1000%,0.1000%,0.700%
2023-03-24 12:24:45,0%,0%,0%,0.400%,0.300%,0.1000%,1.20%
2023-03-24 12:25:00,0%,0%,0%,0.300%,0.300%,0.1000%,0.800%
2023-03-24 12:25:15,0%,0%,0%,0.200%,0.200%,0.100%,1.20%
2023-03-24 12:25:30,0%,0%,0%,0.100%,0.200%,0.300%,0.700%
2023-03-24 12:25:45,0%,0%,0%,0%,0.200%,0.200%,0.800%
2023-03-24 12:26:00,0%,0%,0%,0.200%,0.200%,0.300%,0.500%
2023-03-24 12:26:15,0%,0%,0%,1.10%,1.50%,0.400%,3.40%
2023-03-24 12:26:30,0.700%,0%,0%,1.00%,1.60%,1.30%,4.00%
2023-03-24 12:26:45,0.100%,0%,0%,0.900%,0.900%,0.800%,4.30%
2023-03-24 12:27:00,0%,0%,0%,1.10%,0.700%,0.600%,4.30%
2023-03-24 12:27:15,0%,0%,0%,1.20%,1.30%,0.900%,3.90%
2023-03-24 12:27:30,0%,0%,0%,0.600%,0.600%,0.600%,3.70%
2023-03-24 12:27:45,0%,0%,0%,1.30%,1.30%,0.600%,3.70%
2023-03-24 12:28:00,0%,0%,0%,1.20%,1.10%,0.600%,4.10%
2023-03-24 12:28:15,0%,0%,0%,1.10%,1.00%,0.600%,4.60%
2023-03-24 12:28:30,0%,0%,0%,1.30%,0.900%,0.700%,4.20%
2023-03-24 12:28:45,0%,0%,0%,0.900%,0.800%,0.700%,3.60%
2023-03-24 12:29:00,0%,0%,0%,0.700%,0.900%,0.600%,3.50%
2023-03-24 12:29:15,0%,0%,0%,0.900%,1.10%,0.400%,4.20%
2023-03-24 12:29:30,0%,0%,0%,1.20%,1.00%,0.700%,4.10%
2023-03-24 12:29:45,0%,0%,0%,0.600%,1.10%,0.200%,4.90%
2023-03-24 12:30:00,0%,0%,0%,0.900%,0.600%,0.700%,4.00%
2023-03-24 12:30:15,0%,0%,0%,0.900%,1.10%,0.400%,3.50%
2023-03-24 12:30:30,0%,0%,0%,0.900%,1.000%,0.200%,3.50%
2023-03-24 12:30:45,0%,0%,0%,1.80%,1.60%,0.500%,4.30%
2023-03-24 12:31:00,0%,0%,0%,1.00%,1.60%,0.400%,3.90%
2023-03-24 12:31:15,0%,0%,0%,1.20%,1.40%,0.300%,3.80%
2023-03-24 12:31:30,0.100%,0%,0%,1.10%,0.800%,0.400%,4.10%
2023-03-24 12:31:45,0%,0%,0%,1.00%,0.700%,0.400%,3.70%
2023-03-24 12:32:00,0%,0%,0%,0.800%,0.900%,0.600%,3.40%
2023-03-24 12:32:15,0%,0%,0%,0.500%,0.900%,0.700%,4.20%
2023-03-24 12:32:30,0%,0%,0%,1.10%,1.10%,0.300%,3.90%
2023-03-24 12:32:45,0%,0%,0%,1.00%,0.700%,0.400%,3.10%
2023-03-24 12:33:00,0%,0%,0%,1.20%,0.700%,0.600%,4.40%
2023-03-24 12:33:15,0%,0%,0%,0.800%,0.600%,0.700%,3.10%
2023-03-24 12:33:30,0%,0%,0%,1.10%,0.600%,0.400%,3.50%
2023-03-24 12:33:45,0%,0%,0%,1.30%,0.700%,0.400%,4.30%
2023-03-24 12:34:00,0%,0%,0%,1.30%,0.800%,0.600%,4.70%
2023-03-24 12:34:15,0%,0%,0%,0.900%,1.00%,0.500%,3.30%
2023-03-24 12:34:30,0%,0%,0%,1.000%,0.700%,0.600%,3.20%
2023-03-24 12:34:45,0%,0%,0%,1.00%,0.700%,0.400%,4.70%
2023-03-24 12:35:00,0%,0%,0%,0.900%,0.500%,0.400%,4.30%
2023-03-24 12:35:15,0%,0%,0%,0.700%,0.600%,0.500%,3.20%
2023-03-24 12:35:30,0%,0%,0%,1.10%,1.00%,0.400%,3.80%
2023-03-24 12:35:45,0%,0%,0%,2.70%,2.50%,1.60%,7.60%
2023-03-24 12:36:00,0%,0%,0%,2.00%,1.70%,1.10%,2.00%
2023-03-24 12:36:15,0%,0%,0%,1.20%,2.20%,1.00%,1.30%
2023-03-24 12:36:30,0%,0%,0%,1.00%,2.00%,0.500%,0.800%
2023-03-24 12:36:45,0%,0%,0%,2.00%,3.90%,1.10%,5.40%
2023-03-24 12:37:00,0%,0%,0%,1.90%,1.70%,1.00%,5.70%
2023-03-24 12:37:15,0%,0%,0%,1.40%,1.50%,1.00%,6.00%
2023-03-24 12:37:30,0%,0%,0%,1.60%,1.20%,1.00%,5%
2023-03-24 12:37:45,0%,0%,0%,1.30%,1.60%,0.700%,6.00%
2023-03-24 12:38:00,0%,0%,0%,1.70%,1.00%,0.900%,5.30%
2023-03-24 12:38:15,0%,0%,0%,1.90%,2.20%,0.900%,5.80%
2023-03-24 12:38:30,0%,0%,0%,1.30%,1.30%,0.800%,5.50%
2023-03-24 12:38:45,0%,0%,0%,2.20%,1.60%,0.800%,5.40%
2023-03-24 12:39:00,0%,0%,0%,1.10%,1.30%,0.700%,6.40%
2023-03-24 12:39:15,0%,0%,0%,1.70%,2.10%,1.000%,6.00%
2023-03-24 12:39:30,0%,0%,0%,2.10%,2.00%,0.900%,5.80%
